Company Name,Location,Industry,Founded,Headquarters,CEO,Employees Number
Zurich Insurance Group,"Zurich, Switzerland",Insurance,1872,Zurich,Mario Greco,"55,000"
Berkshire Hathaway,"Omaha, Nebraska",Diversified Financials,1939,"Omaha, Nebraska",Warren Edward Buffett,"372,000"
Brookfield Asset Management,"Toronto, Canada",Diversified Financials,1997,Toronto,James Bruce Flatt,"180,000"
Prudential Financial,"Newark, New Jersey",Banking and Financial Services,1875,"Newark, New Jersey",Charles F. Lowrey,"15,364"
ICBC,"Beijing, China",Banking,2011,Beijing,Shu Gu,"434,798"
Rosneft,"Moscow, Russia",Oil & Gas Operations,1993,Moscow,Igor Ivanovich Sechin,
Rio Tinto,"London, United Kingdom",Materials,1873,London,Jakob Stausholm,"49,345"
Siemens,"Munich, Germany",Professional Service,1847,Munich,Roland Emil Busch,"8,000"
Cigna,"Bloomfield, Connecticut",Insurance,1792,"Bloomfield, Connecticut",David Cordani,"65,593"
American Express,"New York, New York",Banking and Financial Services,1850,"New York, New York",Stephen J. Squeri,"22,000"
BHP Group,"Melbourne, Australia",Materials,1885,Melbourne,Mike Henry,"80,000"
Roche Holding,"Basel, Switzerland",Drugs & Biotechnology,1896,Basel,Severin Schwan,"100,920"
Stellantis,"Amsterdam, Netherlands",Automotive (Automotive and Suppliers),2021,Amsterdam,Carlos Tavares,"189,512"
AIA Group,"Hong Kong, Hong Kong",Insurance,1919,Hong Kong,Yuan Xiang Li,"23,000"
The Home Depot,"Toronto, Ontario",Retail and Wholesale,1978,"Toronto, Ontario",Edward P. Decker,"30,000"
Credit Bank of Moscow,"Moscow, Russia",Banking,1992,Moscow,Vladimir Aleksandrovich Chubar,"9,000"
MetLife,"New York, New York",Insurance,1868,"New York, New York",Michel A. Khalaf,"43,000"
Satellite Chemical,China,Chemicals,China,"3,409",,
Sichuan Changhong Electric,"Mianyang, China",Consumer Durables,1988,Mianyang,Wei Li,"51,841"
NMDC,"Hyderabad, India",Materials,1958,Hyderabad,Sumit Deb,"16,944"
Grandjoy Holdings Group,"Beijing, China",Diversified Financials,Beijing,China,"10,186",
Shenzhen Feima International Supply Chain,"Shenzhen, China",Business Services & Supplies,1998,Shenzhen,Shan Min Huang,306
Aperam,"Luxembourg, Luxembourg",Materials,2010,Luxembourg,Timoteo di Maulo,
Onex,"Toronto, Canada",Diversified Financials,1980,Toronto,Gerald W. Schwartz,536
Match Group,"Dallas, Texas",IT Software & Services,2009,"Dallas, Texas",Sharmistha Dubey,"2,540"
Kloeckner & Co,"Duisburg, Germany",Materials,2008,Duisburg,Guido Kerkhoff,"7,153"
Wingtech Technology,"Huangshi, China",Technology Hardware & Equipment,Huangshi,China,"25,096",
EFG International,"Zurich, Switzerland",Banking,1995,Zurich,Piergiorgio G. Pradelli,"3,027"
Whitecap Resources,"Calgary, Canada",Oil & Gas Operations,2008,Calgary,Grant Bradley Fagerheim,453
Twilio,"San Francisco, California",IT Software & Services,2008,"San Francisco, California",Jeffery G. Lawson,"7,867"
Swedish Match,"Stockholm, Sweden","Food, Drink & Tobacco",1996,Stockholm,Lars Dahlgren,"6,712"
Unity Software,"San Francisco, California",Professional Service,2004,"San Francisco, California",John Salvatore Riccitiello,"5,245"
China Petroleum Engineering,"Beijingf, China",Oil & Gas Operations,1999,Beijingf,Yu Jian Zhao,"44,291"
Li Auto,"Beijing, China",Consumer Durables,2015,Beijing,Xiang Li,"11,901"
Fertiglobe,"Abu Dhabi, United Arab Emirates",Chemicals,2019,Abu Dhabi,Ahmed K. El-Hoshy,
Ampol ,"Alexandria, Australia",Oil & Gas Operations,1900,Alexandria,Matthew Halliday,"8,300"
JB Financial Group,"Jeonju, South Korea",Banking,Jeonju,South Korea,79,
WT Microelectronics,"New Taipei, Taiwan",Trading Companies,1993,New Taipei,Wen Tsung Cheng,"2,395"
Tapestry,"New York, New York","Clothing, Shoes, Sports Equipment",2017,"New York, New York",Joanne C. Crevoiserat,"13,100"
Seiko Epson,"Suwa, Japan",Business Services & Supplies,1942,Suwa,Minoru Usui,"79,944"
Logitech International,"Lausanne, Switzerland",Technology Hardware & Equipment,1981,Lausanne,Bracken P. Darrell,"9,000"
Group 1 Automotive,"Houston, Texas",Retailing,1995,"Houston, Texas",Earl Julius Hesterberg,"13,711"
Jinshang Bank,"Taiyuan, China",Banking,1998,Taiyuan,"4,424",
Musashino Bank,"Saitama, Japan",Banking,1952,Saitama,Kikuo Kato,"2,159"
AviChina Industry & Technology,"Beijing, China",Aerospace & Defense,2003,Beijing,Xue Jun Wang,"46,428"
Zall Smart Commerce Group,"Wuhan, China",Construction,2010,Wuhan,"Zhi Ping Qi, Zhi Yan","1,714"
VEON,"Amsterdam, Netherlands",Telecommunications Services,1992,Amsterdam,Muhterem Kaan Terzioglu,"43,639"
Yamato Holdings,"Tokyo, Japan",Transportation,1919,Tokyo,Makoto Kigawa,"223,191"
Weihai City Commercial Bank,"Weihai, China",Banking,1997,Weihai,,
Cadence Bank,"Tupelo, Mississippi",Banking,1982,"Tupelo, Mississippi",James D. Rollins,"4,600"
Huali Industrial Group,"Zhongshan, China",Household & Personal Products,2004,Zhongshan,Zhi Bang Zhang,"151,198"
FCC,"Barcelona, Spain",Construction,1944,Barcelona,Pablo Colio Abril,
Mashreq Bank,"Dubai, United Arab Emirates",Banking,1967,Dubai,Ahmed Mohammed Abdelaal,"5,000"
ADNOC Drilling,"Abu Dhabi, United Arab Emirates",Oil & Gas Operations,1972,Abu Dhabi,Abdulrahman Abdulla Al,
Shenzhou International Group Holdings,"Hong Kong, Hong Kong",Household & Personal Products,2005,Hong Kong,Guan Lin Huang,"82,700"
Farfetch,"London, United Kingdom",IT Software & Services,2007,London,José Manuel Neves,"6,464"
Far Eastern New Century,"Taipei, Taiwan",Capital Goods,1954,Taipei,Cheng Lung Hu,
Masco,"Livonia, Michigan",Construction,1929,"Livonia, Michigan",Keith J. Allman,"20,000"
Jindal Steel & Power,"New Delhi, India",Materials,1979,New Delhi,Vidya Ratan Sharma,"6,173"
Pinnacle Bank,"Nashville, Tennessee",Banking,2000,"Nashville, Tennessee",M. Terry Turner,"2,841"
Hokkoku Financial Holdings,"Kanazawa, Japan",Banking,1943,Kanazawa,Tateki Akata,"1,837"
Steris,"Dublin, Ireland",Health Care Equipment & Services,1985,Dublin,Daniel A. Carestio,"13,000"
Yamada Denki,"Takasaki, Japan",Retailing,1983,Takasaki,Tadao Ichimiya,"24,300"
Intco Medical Technology,"Zibo, China",Health Care Equipment & Services,2009,Zibo,Qiong Chen,"6,503"
Healthpeak Properties,"Denver, Colorado",Diversified Financials,1985,"Denver, Colorado",Thomas M. Herzog,196
Hera,"Bologna, Italy",Utilities,2002,Bologna,Orazio Carmelo Iacono,"9,122"
Shanghai Yuyuan Tourist Mart,"Shanghai, China",Retailing,Shanghai,China,"16,644",
Bread Financial Holdings,"Columbus, Ohio",Business Services & Supplies,1996,"Columbus, Ohio",Ralph J Andretta,"6,000"
XPO Logistics,"Greenwich, Connecticut",Transportation,1989,"Greenwich, Connecticut",Bradley S. Jacobs,"42,000"
ASM International,"Almere, Netherlands",Semiconductors,1964,Almere,Gek Lim Loh,"3,312"
Albemarle,"Charlotte, North Carolina",Chemicals,1993,"Charlotte, North Carolina",Jerry Kent Masters,"6,000"
Hainan Airlines Holding,"Haikou, China",Transportation,Haikou,China,,
Tokyu Fudosan,"Tokyo, Japan",Construction,2013,Tokyo,Yuji Okuma,"23,411"
Metropolitan Bank & Trust,"Makati, Philippines",Banking,1962,Makati,Arthur Vy Ty,"14,451"
Robert Half International,"Menlo Park, California",Business Services & Supplies,1948,"Menlo Park, California",Michael Keith Waddell,"191,600"
Aristocrat Leisure,"Sydney, Australia",Consumer Durables,1953,Sydney,Trevor J. Croker,"7,000"
Bradespar,"São Paulo, Brazil",Diversified Financials,São Paulo,Brazil,,
TMX Group,"Toronto, Canada",Diversified Financials,1861,Toronto,John McKenzie,"1,576"
Genmab,"Copenhagen, Denmark",Drugs & Biotechnology,1998,Copenhagen,Jan G. J. van de Winkel,"1,212"
Hyakujushi Bank,"Takamatsu, Japan",Banking,1878,Takamatsu,Yujiro Ayada,"2,283"
Gap,"San Francisco, California","Clothing, Shoes, Sports Equipment",1969,"San Francisco, California",Sonia Syngal,"78,570"
Ansys,"Canonsburg, Pennsylvania",IT Software & Services,1970,"Canonsburg, Pennsylvania",Ajei S. Gopal,"5,100"
Ayala Corp,"Makati City, Philippines",Diversified Financials,1834,Makati City,Fernando Miranda Zobel de Ayala,"60,000"
Shenzhen Inovance Technology,"Shenzhen, China",Capital Goods,2003,Shenzhen,Xing Ming Zhu,
Xiamen Xinde,"Xiamen, China",Transportation,Xiamen,China,"5,354",
Shanghai Fosun Pharmaceutical,"Shanghai, China",Drugs & Biotechnology,1994,Shanghai,Yi Fang Wu,"36,279"
Mr. Cooper Group,"Dallas, Texas",Retail and Wholesale,1994,"Dallas, Texas",Jesse K. Bray,"8,200"
CoStar Group,"Washington, District of Columbia",IT Software & Services,1987,"Washington, District of Columbia",Andrew C. Florance,"4,742"
Banque Centrale Populaire,"Casablanca, Morocco",Banking,1926,Casablanca,Mohamed Karim Mounir,
Rothschild & Co.,"Paris, France",Professional Service,1811,Paris,Alexandre de Rothschild,"3,587"
Wintrust Financial,"Rosemont, Illinois",Banking,1992,"Rosemont, Illinois",Edward Joseph Wehmer,"5,239"
Central Bank of India,"Mumbai, India",Banking,1911,Mumbai,Venkat Rao Matam,"32,335"
Parkland,"Calgary, Canada",Trading Companies,1977,Calgary,Robert Berthold Espey,
Galaxy Entertainment,"Hong Kong, Hong Kong","Hotels, Restaurants & Leisure",1955,Hong Kong,Che Woo Lui,"17,700"
Shandong Iron and Steel,"Jinan, China",Materials,Jinan,China,"21,949",
Palantir Technologies,"Denver, Colorado",IT Software & Services,2003,"Denver, Colorado",Alexander Caedmon Karp,"2,920"
Dexus,"Sydney, Australia",Diversified Financials,Sydney,Australia,559,
Teledyne Technologies,"Thousand Oaks, California",Aerospace & Defense,1960,"Thousand Oaks, California",Robert Mehrabian,"14,500"
Ares Management,"Los Angeles, California",Diversified Financials,1997,"Los Angeles, California",Michael J. Arougheti,"2,100"
Kiyo Bank ,"Wakayama, Japan",Banking,Wakayama,Japan,"2,491",
Grifols,"Barcelona, Spain",Drugs & Biotechnology,1909,Barcelona,"Victor Grifols Deu, Raimon Grifols Roura","23,245"
Cencosud,"Santiago, Chile",Retailing,1960,Santiago,Matias Sola Videla,"117,638"
Murphy USA,"El Dorado, Arkansas",Retail and Wholesale,1996,"El Dorado, Arkansas",Andrew Clyde,"15,000"
Bank of Xi'an,"Xi'an, China",Banking,1997,Xi'an,Guo Hong Chen,"3,381"
Seagen,"Bothell, Washington",Drugs & Biotechnology,1997,"Bothell, Washington",Clay B. Siegall,"2,675"
Nippon Steel Trading,"Tokyo, Japan",Trading Companies,1977,Tokyo,Ichiro Miyasaka,"9,028"
Novatek Microelectronics Corp.,"Hsinchu, Taiwan",Semiconductors,Hsinchu,Taiwan,,
Webster Financial,"Stamford, Connecticut",Banking,1986,"Stamford, Connecticut",John R. Ciulla,"3,245"
MongoDB,"New York, New York",Business Services & Supplies,2007,"New York, New York",Dev C. Ittycheria,"3,544"
Persimmon,"Fulford, United Kingdom",Construction,Fulford,United Kingdom,"5,196",
Commercial Metals,"Irving, Texas",Materials,1915,"Irving, Texas",Barbara R. Smith,"11,089"
TMB Bank,"Bangkok, Thailand",Banking,1935,Bangkok,Piti Tantakasem,"15,102"
China Aviation Oil,"Singapore, Singapore",Oil & Gas Operations,1993,Singapore,Yan Jun Wang,105
Azrieli Group,"Tel Aviv, Israel",Construction,1983,Tel Aviv,Eyal Henkin,391
Commerce Bancshares,"Kansas City, Missouri",Banking and Financial Services,1865,"Kansas City, Missouri",John W. Kemper,"4,567"
Times Property Holdings,"Guangzhou, China",Construction,1999,Guangzhou,Chiu Hung Shum,"9,502"
Gold Fields,"Johannesburg, South Africa",Materials,1968,Johannesburg,Christopher Ivan Griffith,"2,607"
Brown & Brown,"Daytona Beach, Florida",Insurance,1939,"Daytona Beach, Florida",J. Powell Brown,"12,023"
Samsung SDS,"Seoul, South Korea",IT Software & Services,1985,Seoul,Sung-Woo Hwang,"12,019"
Nanjing Iron & Steel,"Nanjing, China",Materials,Nanjing,China,"11,993",
PennyMac Financial Services,"Westlake Village, California",Business Services & Supplies,2008,"Westlake Village, California",David A. Spector,"7,208"
Aozora Bank,"Tokyo, Japan",Banking,1957,Tokyo,Shinsuke Baba,"2,332"
ACWA Power,"Riyadh, Saudi Arabia",Utilities,2004,Riyadh,Paddy Padmanathan,
Electrolux Group,"Stockholm, Sweden",Consumer Durables,1919,Stockholm,Jonas Samuelson,"51,798"
F&F,"Seoul, South Korea",Consumer Durables,1972,Seoul,Ui-Heon Park,8
Essex Property Trust,"San Mateo, California",Diversified Financials,1971,"San Mateo, California",Michael J. Schall,"1,757"
Aareal Bank,"Wiesbaden, Germany",Diversified Financials,1923,Wiesbaden,Jochen Klösges,"3,170"
Yunnan Energy New Material,"Yuxi, China",Consumer Durables,2001,Yuxi,Xiao Hua Li,"8,679"
Grupa LOTOS,"Gdansk, Poland",Oil & Gas Operations,1991,Gdansk,Zofia Maria Paryla,"5,472"
Barry Callebaut,"Zurich, Switzerland","Food, Drink & Tobacco",1994,Zurich,Peter Boone,"12,783"
Tenneco,"Lake Forest, Illinois",Automotive (Automotive and Suppliers),1940,"Lake Forest, Illinois",Brian Kesseler,"71,000"
SCA,"Sundsvall, Sweden",Household & Personal Products,1929,Sundsvall,Ulf Örjan Larsson,"3,373"
Anhui Water Resources Development,"Bengbu, China",Utilities,Bengbu,China,"17,010",
PacWest Bancorp,"Beverly Hills, California",Banking,1999,"Beverly Hills, California",Matthew P. Wagner,"2,200"
Kinnevik,"Stockholm, Sweden",Diversified Financials,1985,Stockholm,Georgi Martin Ganev,36
WESCO International,"Pittsburgh, Pennsylvania",Trading Companies,1993,"Pittsburgh, Pennsylvania",John J. Engel,"18,000"
Bank Of Gansu,"Lanzhou, China",Banking,2011,Lanzhou,Xin Li,"4,335"
Tokyo Kiraboshi Financial Group,"Tokyo, Japan",Banking,2014,Tokyo,Takashi Sakamoto,"2,830"
Yunnan Yuntianhua,"Kunming, China",Chemicals,Kunming,China,"11,379",
SITC International Holdings,"Hong Kong, Hong Kong",Transportation,1991,Hong Kong,Xian Xiang Yang,"1,920"
FIBI Holdings,"Tel Aviv, Israel",Banking,1972,Tel Aviv,Jacob Sitt,"3,645"
Zhangzhou Pientzehuang Pharmaceutical,"Zhangzhou, China",Drugs & Biotechnology,Zhangzhou,China,"2,591",
Vietnam Technological & Commercial Joint Stock Bank,"Hanoi, Vietnam",Banking,1993,Hanoi,Jens Lottner,"12,506"
Snap-on,"Kenosha, Wisconsin","Semiconductors, Electronics, Electrical Engineering, Technology Hardware & Equipment",1920,"Kenosha, Wisconsin",Nicholas T. Pinchuck,"12,800"
Saputo,"Montréal, Canada","Food, Drink & Tobacco",1954,Montréal,Lino A. Saputo,"17,300"
